----------------------------------------------------------------
Epoch 218/300, Train Loss: 0.473, Train Accuracy: 83.45%, Test Loss: 0.0036, Test Accuracy: 84.85%
Epoch 219/300, Train Loss: 0.474, Train Accuracy: 83.45%, Test Loss: 0.0036, Test Accuracy: 84.81%
Epoch 220/300, Train Loss: 0.478, Train Accuracy: 83.35%, Test Loss: 0.0036, Test Accuracy: 84.72%
Epoch 221/300, Train Loss: 0.477, Train Accuracy: 83.24%, Test Loss: 0.0036, Test Accuracy: 84.49%
Epoch 222/300, Train Loss: 0.475, Train Accuracy: 83.26%, Test Loss: 0.0036, Test Accuracy: 84.54%
Epoch 223/300, Train Loss: 0.475, Train Accuracy: 83.66%, Test Loss: 0.0035, Test Accuracy: 85.07%
Epoch 224/300, Train Loss: 0.473, Train Accuracy: 83.33%, Test Loss: 0.0035, Test Accuracy: 85.24%
Epoch 225/300, Train Loss: 0.476, Train Accuracy: 83.29%, Test Loss: 0.0035, Test Accuracy: 85.31%
Epoch 226/300, Train Loss: 0.470, Train Accuracy: 83.64%, Test Loss: 0.0036, Test Accuracy: 84.92%
Epoch 227/300, Train Loss: 0.473, Train Accuracy: 83.24%, Test Loss: 0.0037, Test Accuracy: 84.39%
Epoch 228/300, Train Loss: 0.474, Train Accuracy: 83.48%, Test Loss: 0.0035, Test Accuracy: 84.75%
Epoch 229/300, Train Loss: 0.473, Train Accuracy: 83.47%, Test Loss: 0.0035, Test Accuracy: 85.10%
Epoch 230/300, Train Loss: 0.475, Train Accuracy: 83.34%, Test Loss: 0.0035, Test Accuracy: 85.23%
Epoch 231/300, Train Loss: 0.474, Train Accuracy: 83.39%, Test Loss: 0.0036, Test Accuracy: 85.16%
Epoch 232/300, Train Loss: 0.470, Train Accuracy: 83.55%, Test Loss: 0.0036, Test Accuracy: 84.96%
